"id","description","path","triggers","src","primary_hub","assigned_hubs","match_score","is_primary"
"skill-creator","To create new CLI skills following Anthropic's official best practices with zero manual configuration. This skill automates brainstorming, template application, validation, and installation processes while maintaining progressive disclosure patterns and writing style standards.","skill-manage/src/antigravity-awesome-skills/plugins/antigravity-bundle-skill-author/skills/skill-creator/SKILL.md","skill;creator","external:antigravity-awesome-skills","ai/skills-factory","ai/skills-factory","100","true"
"skill-creator-ms","Guide for creating effective skills for AI coding agents working with Azure SDKs and Microsoft Foundry services. Use when creating new skills or updating existing skills.","skill-manage/src/antigravity-awesome-skills/skills/skill-creator-ms/SKILL.md","skill;creator;ms","external:antigravity-awesome-skills","ai/skills-factory","ai/skills-factory","100","true"
"skill-developer","Comprehensive guide for creating and managing skills in Claude Code with auto-activation system, following Anthropic's official best practices including the 500-line rule and progressive disclosure pattern.","skill-manage/src/antigravity-awesome-skills/plugins/antigravity-bundle-skill-author/skills/skill-developer/SKILL.md","skill;developer","external:antigravity-awesome-skills","ai/skills-factory","ai/skills-factory","100","true"
"skill-improver","Iteratively improve a Claude Code skill using the skill-reviewer agent until it meets quality standards. Use when improving a skill with multiple quality issues, iterating on a new skill until it meets standards, or automated fix-review cycles instead of manual editing.","skill-manage/src/antigravity-awesome-skills/skills/skill-improver/SKILL.md","skill;improver","external:antigravity-awesome-skills","ai/skills-factory","ai/skills-factory","100","true"
"skill-installer","Instala, valida, registra e verifica novas skills no ecossistema. 10 checks de seguranca, copia, registro no orchestrator e verificacao pos-instalacao.","skill-manage/src/antigravity-awesome-skills/skills/skill-installer/SKILL.md","skill;installer","external:antigravity-awesome-skills","ai/skills-factory","ai/skills-factory","100","true"
"skill-router","Use when the user is unsure which skill to use or where to start. Interviews the user with targeted questions and recommends the best skill(s) from the installed library for their goal.","skill-manage/src/antigravity-awesome-skills/skills/skill-router/SKILL.md","skill;router","external:antigravity-awesome-skills","ai/skills-factory","ai/skills-factory","100","true"
"skill-scanner","Scan agent skills for security issues before adoption. Detects prompt injection, malicious code, excessive permissions, secret exposure, and supply chain risks.","skill-manage/src/antigravity-awesome-skills/skills/skill-scanner/SKILL.md","skill;scanner","external:antigravity-awesome-skills","ai/skills-factory","ai/skills-factory","100","true"
"skill-seekers","-Automatically convert documentation websites, GitHub repositories, and PDFs into Claude AI skills in minutes.","skill-manage/src/antigravity-awesome-skills/skills/skill-seekers/SKILL.md","skill;seekers","external:antigravity-awesome-skills","ai/skills-factory","ai/skills-factory","100","true"
"skill-sentinel","Auditoria e evolucao do ecossistema de skills. Qualidade de codigo, seguranca, custos, gaps, duplicacoes, dependencias e relatorios de saude.","skill-manage/src/antigravity-awesome-skills/skills/skill-sentinel/SKILL.md","skill;sentinel","external:antigravity-awesome-skills","ai/skills-factory","ai/skills-factory","100","true"
"skill-writer","Create and improve agent skills following the Agent Skills specification. Use when asked to create, write, or update skills.","skill-manage/src/antigravity-awesome-skills/skills/skill-writer/SKILL.md","skill;writer","external:antigravity-awesome-skills","ai/skills-factory","ai/skills-factory","100","true"
"template-skill","Reusable template for authoring new Agent Skills with clear triggers, workflow, and I/O contracts.","skill-manage/src/NoizAI-skills/skills/template-skill/SKILL.md","template;skill","external:NoizAI-skills","ai/skills-factory","ai/skills-factory","11","true"
"verification-before-completion","Claiming work is complete without verification is dishonesty, not efficiency. Use when ANY variation of success/completion claims, ANY expression of satisfaction, or ANY positive statement about work state.","skill-manage/src/antigravity-awesome-skills/plugins/antigravity-bundle-skill-author/skills/verification-before-completion/SKILL.md","verification;before;completion","external:antigravity-awesome-skills","ai/skills-factory","ai/skills-factory","100","true"
"writing-skills","Use when creating, updating, or improving agent skills.","skill-manage/src/antigravity-awesome-skills/plugins/antigravity-bundle-skill-author/skills/writing-skills/SKILL.md","writing;skills","external:antigravity-awesome-skills","ai/skills-factory","ai/skills-factory","100","true"
